40.14671490796011 -88.24379109531611
index.html:121 40.14687681520124 -88.24660080350799
index.html:121 40.14683258235029 -88.24659059592699
index.html:121 40.14679364614226 -88.24656172477734
index.html:121 40.146755038328536 -88.24653169647775
index.html:121 40.14671996346117 -88.24649551089698
index.html:121 40.146687142763035 -88.24645539671042
index.html:121 40.1466543220649 -88.2464152825238
index.html:121 40.146635108569825 -88.24636284380449
index.html:121 40.146617958725116 -88.24630853596284
index.html:121 40.14660080888041 -88.2462542281213
index.html:121 40.14659 -88.24619827425289
index.html:121 40.14659 -88.2461395145483
index.html:121 40.14659 -88.24608075484372
index.html:121 40.14659 -88.24602199513913
index.html:121 40.14659 -88.2459632354346
index.html:121 40.146591658600904 -88.2459045681195
index.html:121 40.146595476884414 -88.2458460211057
index.html:121 40.14659929516792 -88.24578747409197
index.html:121 40.14660311345143 -88.24572892707818
index.html:121 40.14660693173494 -88.24567038006444
index.html:121 40.14661075001844 -88.2456118330507
index.html:121 40.14661456830195 -88.24555328603691
index.html:121 40.14661838658545 -88.24549473902312
index.html:121 40.14663002931406 -88.2454387981237
index.html:121 40.14663146174953 -88.2453800682693
index.html:121 40.146632894185004 -88.2453213384149
index.html:121 40.14663432662048 -88.24526260856055
index.html:121 40.146635759055954 -88.24520387870615
index.html:121 40.14663719149142 -88.24514514885175
index.html:121 40.1466386239269 -88.24508641899735
index.html:121 40.14663993581922 -88.24502768949196
index.html:121 40.14663830468078 -88.24496896850792
index.html:121 40.14663667354233 -88.24491024752382
index.html:121 40.14663504240389 -88.24485152653972
index.html:121 40.146633411265434 -88.24479280555562
index.html:121 40.14663178012699 -88.24473408457158
index.html:121 40.14663014898854 -88.24467536358748
index.html:121 40.14662878706773 -88.2446166309802
index.html:121 40.146627452209195 -88.24455789720452
index.html:121 40.14662611735066 -88.24449916342883
index.html:121 40.14662478249212 -88.2444404296532
index.html:121 40.14662344763358 -88.24438169587751
index.html:121 40.14662211277504 -88.24432296210182
index.html:121 40.1466207779165 -88.24426422832619
index.html:121 40.146619443057965 -88.2442054945505
index.html:121 40.14661810819943 -88.24414676077481
index.html:121 40.146616773340895 -88.24408802699918
index.html:121 40.14661543848236 -88.24402929322349
index.html:121 40.14661410362382 -88.24397055944786
index.html:121 40.14661276876528 -88.24391182567217
index.html:121 40.14661143390674 -88.24385309189654
index.html:121 40.1466100990482 -88.24379435812085
